Entity,Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bahamas,BHS,27.167986277215704,20.062299695823796,24.35919148597044,18.658133054529547,16.46399092667459,12.72227721217497,14.725157645769897,9.219417357527618,16.332298647568788,18.68869618063315,13.29336211026681,15.318015734970412,15.698384109878436,0.95927756213527,10.696652092820266,9.758275138847932,15.669899424799041,12.04876722995228,14.795545202224389,6.478460626514352,1.484709829044938,2.4440906966303793,2.994230120136063,4.505217930470657,-0.2137199088811812,-2.322450349727884,-2.267289610861031
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,-10.656778233967726,-10.879063199357285
Bangladesh,BGD,0.05248987138819494,0.033202653115715464,-0.01600325309400219,0.010243165728907044,-0.15323670881502416,-0.20434568865464442,-0.1427587198290894,-0.1296926681024928,-0.2530251218008228,-0.17191470796353947,-0.07649382037493169,0.02513441322827603,0.008943796500370027,0.14880596753356912,0.33923951025811405,0.21390442688130307,0.06126528330180747,0.20414985642183225,-0.05577245630526306,-0.13373866778217902,-0.24855585899130617,-0.5043236783203859,-0.10288156326329201,-0.17805509072057646,-0.03687673622250642,0.0050382013407563875,0.08362955885710122
Barbados,BRB,-15.080751612432966,-17.261356685228435,-17.167849982462158,-21.488030603466406,-11.624350768127206,-22.0016514438464,-25.51533107029065,-28.153501645937176,-31.23620090954038,-31.89614292574505,-29.0651409924578,-33.0993267233653,-34.59639259620014,-34.68977369238028,-29.923772838243167,-27.89456993043259,-27.432555399636698,-32.59157575988687,-34.42220812589051,-29.451387946915403,-33.36700759030734,-35.859682744581484,-35.80387132784939,-37.04960765610188,-37.27092912776303,-37.21292213928084,-37.14216462398608
Belarus,BLR,-0.6405065568696267,-5.198614089471051,-5.708785997813937,-10.334816647609195,-6.893007278413345,-5.740210545888213,-8.799408260346965,-12.466111963144547,-13.828128907272948,-13.383739774557913,-14.483358785660943,-14.802736500695554,-14.703841622262125,-15.008278877074632,-16.049987386200453,-15.86740352208474,-14.621930096214925,-12.272090017811326,-13.100601677736888,-14.374360394511505,-14.254429819330996,-10.775960001907395,-9.689349857299986,-10.367908874851512,-9.704094372867795,-10.653665169241329,-10.693847868000265
Belgium,BEL,,,,,,,-20.689211990257437,-18.867787537419836,-18.698692688164634,-22.090952891353915,-21.918389963584577,-22.135207134411843,-21.82677593701973,-22.965776721871652,-24.400638206445368,-22.555095415698382,-23.46063609077576,-24.324452748889787,-22.97467511931552,-22.77195717722777,-23.930551014892984,-22.650495224502833,-21.47663835887922,-20.937114575915896,-21.177011650590636,-22.48413259797807,-22.382137967115284
Belize,BLZ,30.731988225012557,40.822209115519314,50.395006759182394,107.9977877561449,112.89282395991758,219.70626610040162,125.13436053951057,126.19796589225183,331.1215610518948,188.50122607308003,285.05714698743077,384.73158867196673,656.3693961310222,1028.2629905102713,1200.7431879429714,975.5796367041694,1256.680202028777,848.8754219815432,517.5568663773099,108.52299288963889,224.65352768992793,270.93827292967393,239.49131205118215,309.9838607617251,552.3565854630857,535.9667072151786,529.160927030953
Benin,BEN,-2.1177373852351593,-2.7231368643541574,-2.1331623314911985,-2.0244235068638803,-1.558062162698647,-2.5849087442634175,-3.4287876537781417,-1.795345129758224,-3.2020276847284608,-4.193671031993887,-4.009490498608915,-6.16971672603679,-7.679102893712482,-8.784441331941139,-10.320547736000847,-9.313173577085992,-9.390981131347953,-9.34140033766042,-8.910262412713935,-9.337152941234296,-15.786656867331375,-15.316323789661993,-15.432890271079845,-13.020340775599912,-10.309120305271296,-10.364531406141436,-10.058103860151014
Bermuda,BMU,-33.7035527284426,-34.51746803859007,-26.958501871448625,-35.19850537221936,-27.228018080581613,-29.445832599322852,-32.49052141818123,-42.06880045744664,-39.956907631426546,-38.59801147183719,-38.78040362439274,-39.403078646421164,-40.50172316670379,-38.243308143231104,-39.57939483987429,-39.13846331119568,,,,,,,,,,,
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,-6.092296003313159,-6.05427490899646
