Entity,Code,Year,production_per_capita_kg,consumption_per_capita_kg,overfishing_per_capita_kg
Nigeria,NGA,2020,5.208317123932293,8.59,-3.381682876067707
North Korea,PRK,2020,10.914316797476369,11.5599985,-0.6456817025236319
North Macedonia,MKD,2020,1.2553277981390163,6.779975,-5.524647201860984
Norway,NOR,2020,699.3954946336625,50.380035,649.0154596336624
Oman,OMN,2020,128.30063352086222,31.279959,97.02067452086222
Pakistan,PAK,2020,2.7627454661049047,1.47,1.2927454661049047
Panama,PAN,2020,55.6151062899085,15.460032,40.155074289908505
Papua New Guinea,PNG,2020,29.375265708416716,13.409998,15.965267708416716
Paraguay,PRY,2020,4.382363817362943,5.0799923,-0.6976284826370565
Peru,PER,2020,151.31472205128506,26.829994,124.48472805128506
Philippines,PHL,2020,25.980790314199773,28.389997,-2.4092066858002283
Poland,POL,2020,6.710852910474848,11.240001,-4.529148089525151
Portugal,PRT,2020,19.05690544513732,59.360027,-40.303121554862685
Qatar,QAT,2020,6.114063308735584,23.77,-17.655936691264415
Romania,ROU,2020,1.2262492207670923,8.04,-6.813750779232906
Russia,RUS,2020,35.60725531064346,21.76,13.847255310643458
Rwanda,RWA,2020,1.895017993104002,4.4899974,-2.594979406895998
Saint Kitts and Nevis,KNA,2020,14.073694984646878,35.7305,-21.65680501535312
Saint Lucia,LCA,2020,10.434138706727776,33.549065,-23.114926293272223
Saint Vincent and the Grenadines,VCT,2020,16.998261541433262,19.467394,-2.4691324585667367
Samoa,WSM,2020,51.04784910218062,44.989162,6.05868710218062
Sao Tome and Principe,STP,2020,27.6846524932283,27.078762,0.6058904932282978
Saudi Arabia,SAU,2020,4.611308272782552,11.36,-6.748691727217447
Senegal,SEN,2020,30.644077165013375,17.34,13.304077165013377
Serbia,SRB,2020,1.3535390413498216,7.9599996,-6.606460558650178
Seychelles,SYC,2020,1125.7782691460443,52.012608,1073.7656611460443
Sierra Leone,SLE,2020,25.5530512382974,24.699991,0.8530602382973989
Slovakia,SVK,2020,0.8340928772501259,10.189998,-9.355905122749874
Slovenia,SVN,2020,1.151055046591569,12.969951,-11.81889595340843
Solomon Is.,SLB,2020,93.256342787912,35.27959,57.976752787912005
South Africa,ZAF,2020,7.477745175577166,6.51,0.967745175577166
South Korea,KOR,2020,37.637817383000815,55.630005,-17.992187616999182
S. Sudan,SSD,2020,2.9929513285544567,3.0800018,-0.0870504714455431
